date,pe,pb,ps,dividend_yield,cn10y,spread,us10y,erp
2016-09-19,,,,0.047135379564698224,,,,
2016-09-20,,,,0.047195604738829,2.7431,-2.695904395261171,,
2016-09-21,,,,0.04700444003891479,2.7518000000000002,-2.7047955599610853,,
2016-09-22,,,,0.04661009082989636,2.7456,-2.6989899091701037,,
2016-09-23,,,,0.0466858679298125,2.7318,-2.6851141320701872,,
2016-09-26,,,,0.04717161438895426,2.7157,-2.6685283856110456,,
2016-09-27,,,,0.046906224774134225,2.7144000000000004,-2.667493775225866,,
2016-09-28,,,,0.04706344818504461,2.7244,-2.6773365518149554,,
2016-09-29,,,,0.046886687456137166,2.7282,-2.681313312543863,,
2016-09-30,,,,0.04686594632166622,2.7258,-2.6789340536783337,,
2016-10-10,,,,0.046447326992937445,2.6734999999999998,-2.6270526730070625,,
2016-10-11,,,,0.04643203516497871,2.6835,-2.6370679648350213,,
2016-10-12,,,,0.04660130289338253,2.7098,-2.6631986971066173,,
2016-10-13,,,,0.046620983755889064,2.701,-2.654379016244111,,
2016-10-14,,,,0.04659013292611703,2.6952,-2.648609867073883,,
2016-10-17,,,,0.0469373622014875,2.6904,-2.643462637798512,,
2016-10-18,,,,0.046590901605188396,2.6965,-2.6499090983948115,,
2016-10-19,,,,0.046603182626317845,2.6664,-2.619796817373682,,
2016-10-20,,,,0.046551954175656766,2.6518,-2.6052480458243434,,
2016-10-21,,,,0.04634189464516604,2.6451,-2.598758105354834,,
2016-10-24,,,,0.045911470229038055,2.6595,-2.613588529770962,,
2016-10-25,,,,0.04582703534820786,2.6859,-2.640072964651792,,
2016-10-26,,,,0.04616734874246194,2.7199999999999998,-2.6738326512575377,,
2016-10-27,,,,0.04636237631730482,2.7068,-2.660437623682695,,
2016-10-28,,,,0.04621698312312734,2.7027,-2.656483016876873,,
2016-10-31,,,,0.04625991679227668,2.7425,-2.6962400832077233,,
2016-11-01,,,,0.046029503219619065,2.7375,-2.6914704967803806,,
2016-11-02,,,,0.04638029783720805,2.7372,-2.690819702162792,,
2016-11-03,,,,0.046162250955058916,2.7300999999999997,-2.683937749044941,,
2016-11-04,,,,0.04624649347432424,2.7338999999999998,-2.6876535065256757,,
2016-11-07,,,,0.04625378211318391,2.7475,-2.701246217886816,,
2016-11-08,,,,0.04603943558764233,2.7634,-2.7173605644123575,,
2016-11-09,,,,0.04624585260996224,2.7651,-2.718854147390038,,
2016-11-10,,,,0.04585981722513749,2.7925999999999997,-2.7467401827748623,,
2016-11-11,,,,0.045848530569459846,2.815,-2.76915146943054,,
2016-11-14,,,,0.045812797677276945,2.8577000000000004,-2.8118872023227235,,
2016-11-15,,,,0.045835690518802784,2.8501,-2.804264309481197,,
2016-11-16,,,,0.04587525652546615,2.8651,-2.8192247434745337,,
2016-11-17,,,,0.04579703752252897,2.9055,-2.859702962477471,,
2016-11-18,,,,0.04582509951200675,2.8901,-2.844274900487993,,
2016-11-21,,,,0.045501912321105,2.8851,-2.839598087678895,,
2016-11-22,,,,0.04523421179053315,2.8689,-2.8236657882094667,,
2016-11-23,,,,0.04485031106436719,2.8451,-2.800249688935633,,
2016-11-24,,,,0.04483198601625186,2.8502,-2.805368013983748,,
2016-11-25,,,,0.04416153463553618,2.8649999999999998,-2.8208384653644636,,
2016-11-28,,,,0.04390712561690951,2.8502,-2.8062928743830904,,
2016-11-29,,,,0.043487654102047614,2.8906,-2.8471123458979526,,
2016-11-30,,,,0.04388946930352629,2.9501,-2.9062105306964736,,
2016-12-01,,,,0.0437162943263005,2.9893,-2.9455837056736995,,
2016-12-02,,,,0.043886561167968595,2.9895,-2.9456134388320314,,
2016-12-05,,,,0.04410872392228021,3.0302,-2.9860912760777194,,
2016-12-06,,,,0.044274658223113605,3.1151,-3.0708253417768865,,
2016-12-07,,,,0.0443914031787458,3.0877000000000003,-3.0433085968212543,,
2016-12-08,,,,0.04430283604976574,3.0753,-3.030997163950234,,
2016-12-09,,,,0.04351836336958853,3.0852999999999997,-3.0417816366304113,,
2016-12-12,,,,0.033251002940190025,3.1458,-3.1125489970598097,,
2016-12-13,,,,0.03346824556394349,3.1862000000000004,-3.152731754436057,,
2016-12-14,,,,0.03376736745672445,3.2186,-3.1848326325432756,,
2016-12-15,,,,0.03447330184077201,3.3314999999999997,-3.2970266981592276,,
2016-12-16,,,,0.034515509640685,3.2803,-3.245784490359315,,
2016-12-19,,,,0.03475220906335776,3.3316,-3.296847790936642,,
2016-12-20,,,,0.03495312712509735,3.3739,-3.3389468728749025,,
2016-12-21,,,,0.034718246919515854,3.2815,-3.246781753080484,,
2016-12-22,,,,0.03481523983614691,3.1906999999999996,-3.1558847601638527,,
2016-12-23,,,,0.03510294566827143,3.1769,-3.1417970543317284,,
