date,pe,pb,ps,dividend_yield,cn10y,spread,us10y,erp
2016-09-19,12.90707079301882,,,,,,,
2016-09-20,12.883863389645029,,,,,,,
2016-09-21,12.91252276358798,,,,,,,
2016-09-22,12.999550539288169,,,,,,,
2016-09-23,12.963241788830732,,,,,,,
2016-09-26,12.763687714918056,,,,,,,
2016-09-27,12.839279126331828,,,,,,,
2016-09-28,12.793324258930774,,,,,,,
2016-09-29,12.84860727500828,,,,,,,
2016-09-30,12.872384327537349,,,,,,,
2016-10-10,13.027790510312478,,,,,,,
2016-10-11,13.070428305322137,,,,,,,
2016-10-12,13.037996667995086,,,,,,,
2016-10-13,13.043871637321107,,,,,,,
2016-10-14,13.064777394785152,,,,,,,
2016-10-17,12.97340399824784,,,,,,,
2016-10-18,13.139692708162253,,,,,,,
2016-10-19,13.121154315223716,,,,,,,
2016-10-20,13.125720168552027,,,,,,,
2016-10-21,13.1543578541822,,,,,,,
2016-10-24,13.325218505138766,,,,,,,
2016-10-25,13.284377579968286,,,,,,,
2016-10-26,13.224644005262398,,,,,,,
2016-10-27,13.177903453314881,,,,,,,
2016-10-28,13.077659127807195,,,,,,,
2016-10-31,12.912253126588798,,,,,,,
2016-11-01,12.982864441228598,,,,,,,
2016-11-02,12.883228393770427,,,,,,,
2016-11-03,12.99286865791094,,,,,,,
2016-11-04,12.951889657362461,,,,,,,
2016-11-07,12.97026462820252,,,,,,,
2016-11-08,13.028659525992927,,,,,,,
2016-11-09,12.949424811258558,,,,,,,
2016-11-10,13.09574399142014,,,,,,,
2016-11-11,13.197105881111078,,,,,,,
2016-11-14,13.260224666160687,,,,,,,
2016-11-15,13.237589590057816,,,,,,,
2016-11-16,13.236755559699077,,,,,,,
2016-11-17,13.253294979359218,,,,,,,
2016-11-18,13.179895221220258,,,,,,,
2016-11-21,13.297808297491033,,,,,,,
2016-11-22,13.422928032887507,,,,,,,
2016-11-23,13.435620920750777,,,,,,,
2016-11-24,13.463683149500033,,,,,,,
2016-11-25,13.594736094196827,,,,,,,
2016-11-28,13.67496611496366,,,,,,,
2016-11-29,13.78220819398285,,,,,,,
2016-11-30,13.63678379569638,,,,,,,
2016-12-01,13.73710118860458,,,,,,,
2016-12-02,13.660335090161812,,,,,,,
2016-12-05,13.463788295852344,,,,,,,
2016-12-06,13.409401326608782,,,,,,,
2016-12-07,13.458796547130577,,,,,,,
2016-12-08,13.43633272047448,,,,,,,
2016-12-09,13.573645791839441,,,,,,,
2016-12-12,13.274680055037214,,,,,,,
2016-12-13,13.241352636359272,,,,,,,
2016-12-14,13.167281278240209,,,,,,,
2016-12-15,12.967599040997314,,,,,,,
2016-12-16,12.971258173762047,,,,,,,
2016-12-19,12.930347050919497,,,,,,,
2016-12-20,12.849010404399554,,,,,,,
2016-12-21,12.992396281563826,,,,,,,
2016-12-22,13.000050803403356,,,,,,,
2016-12-23,12.911621855402606,,,,,,,
2016-12-26,12.966757187602905,,,,,,,
2016-12-27,12.921034321325779,,,,,,,
2016-12-28,12.878768184062112,,,,,,,
2016-12-29,12.864417949022195,,,,,,,
2016-12-30,12.907106229554762,,,,,,,
